Date	High	Time	Low	Time	Mean	Degree days	Chill hours	RH Hi	RH Lo	Rainfall
5/1/15	67.7	06:00p	60.4	04:00a	64.2	14.2	0	38	36	0
5/2/15	66.4	07:30p	62.7	07:30a	65	15	0	39	31	0
5/3/15	67.2	08:00p	62.7	07:30a	65.1	15.1	0	38	33	0
5/4/15	70.7	07:30p	64.4	05:00a	68.1	18.1	0	39	30	0
5/5/15	70	06:00p	68.1	07:30a	69.2	19.2	0	44	35	0
5/6/15	101.8	04:00a	66.9	06:00a	69.3	19	0	41	37	0
5/7/15	71.5	08:00p	66.3	06:30a	69.4	19.4	0	48	41	0
5/8/15	73.6	08:00p	67.6	06:30a	71.2	21.2	0	55	38	0
5/9/15	72.9	08:00p	70.3	10:00a	71.6	21.6	0	53	40	0
5/10/15	73.5	04:30p	70.8	09:30a	71.9	21.9	0	63	46	0
5/11/15	74.6	02:30p	70.1	07:00a	71.9	21.9	0	74	63	0
5/12/15	71	11:00a	68	12:00a	70.1	20.1	0	72	56	0
5/13/15	68.6	06:00p	66.1	12:00a	67.6	17.6	0	56	46	0
5/14/15	70.1	06:00p	64.7	04:30a	67.8	17.8	0	47	36	0
5/15/15	68.6	09:30p	65.3	07:30a	67.2	17.2	0	58	40	0
5/16/15	70.9	06:30p	68	07:30a	69.4	19.4	0	65	58	0
5/17/15	71.6	08:00p	68.7	08:30a	70.1	20.1	0	65	60	0
5/18/15	74.8	08:00p	69.5	06:30a	72.3	22.3	0	75	63	0
5/19/15	72.9	12:30a	69.9	12:00a	71.9	21.9	0	70	61	0
5/20/15	69.7	12:30a	65.3	12:00a	67.1	17.1	0	61	46	0
5/21/15	66.6	07:00p	64.4	08:00a	65.5	15.5	0	47	37	0
5/22/15	66.9	03:30p	64.1	07:00a	65.5	15.5	0	42	32	0
5/23/15	64.9	09:30p	62.6	02:00p	63.7	13.7	0	35	27	0
5/24/15	69	09:30p	63.3	07:00a	66.3	16.3	0	37	32	0
5/25/15	72.2	08:30p	67.6	08:00a	69.9	19.9	0	51	38	0
5/26/15	76	05:00p	70.6	07:30a	73	23	0	64	50	0
5/27/15	75	03:30p	72.5	07:00a	73.7	23.7	0	65	56	0
5/28/15	73.2	12:30a	69.2	12:00a	71.3	21.3	0	57	50	0
5/29/15	72.6	10:30p	66.9	07:00a	69.8	19.8	0	58	53	0
5/30/15	74.7	07:30p	72.1	07:30a	73.3	23.3	0	68	57	0
5/31/15	73.1	12:30a	67.7	12:00a	69.8	19.8	0	65	56	0
6/1/15	67.6	01:00a	66.8	12:00a	67.1	17.1	0	56	54	0
6/2/15	67.5	04:00p	66.3	09:00a	66.8	16.8	0	56	51	0
6/3/15	70.2	11:00p	65.2	09:00a	67.2	17.2	0	55	49	0
6/4/15	73.7	05:30p	69.4	07:30a	71.3	21.3	0	58	53	0
6/5/15	74.4	05:00p	69.9	08:00a	71.9	21.9	0	64	55	0
6/6/15	71.8	12:30a	67.7	12:00a	69.5	19.5	0	61	47	0
6/7/15	70.8	08:00p	65.9	07:00a	68.5	18.5	0	56	44	0
6/8/15	71.8	05:30p	69.9	06:00a	71	21	0	70	56	0
6/9/15	71.3	12:30a	69	12:00a	70.4	20.4	0	72	66	0
6/10/15	73	08:30p	67.9	06:30a	70.9	20.9	0	70	63	0
6/11/15	72.9	07:30p	70.6	07:30a	71.9	21.9	0	67	56	0
6/12/15	86.9	02:30p	61.4	12:00a	73.4	23.4	0	97	47	0.95
6/13/15	74.6	05:30p	57.4	03:30a	64.5	14.5	0	100	57	0.05
6/14/15	81.2	02:30p	59	02:30a	69	19	0	98	49	0.55
6/15/15	79.7	05:00p	68.9	09:00a	72.9	22.9	0	100	65	0.07
6/16/15	77	04:00p	65.3	11:30a	71.5	21.5	0	98	43	0.22
6/17/15	74.1	03:30p	58.6	06:00a	66.4	16.4	0	87	38	0
6/18/15	77.4	04:00p	64.1	04:30a	70.5	20.5	0	92	66	0
6/19/15	71	12:30a	53.5	12:00a	63.4	13.4	0	95	47	0
6/20/15	76.5	01:30p	50.3	05:30a	65	15	0	98	55	0.03
6/21/15	79.6	05:30p	65.7	06:00a	72.3	22.3	0	99	58	0.84
6/22/15	82.7	06:00p	58.9	06:00a	71.6	21.6	0	93	41	0
6/23/15	82.2	03:30p	62.2	12:00a	74	24	0	84	47	0.04
6/24/15	75.8	05:00p	56.9	05:30a	65.8	15.8	0	91	35	0
6/25/15	76.7	02:30p	56.1	06:00a	66.3	16.3	0	92	40	0.05
6/26/15	74.4	02:30p	57.4	12:00a	65.9	15.9	0	95	36	0
6/27/15	65.3	12:30p	55.6	10:00p	59.8	9.8	0	95	48	0.86
6/28/15	66	02:30p	54	05:30a	58.8	8.8	0	99	75	0.88
6/29/15	71.7	06:00p	56.4	02:00a	62.2	12.2	0	100	53	0.15
6/30/15	77.9	06:30p	61.3	01:30a	67.3	17.3	0	94	56	0.05
7/1/15	72.4	02:00p	61.5	12:00a	66.8	16.8	0	94	60	0.05
