Row ID,Germplasm,Number of Pollinations,First Harvest GDD,Second Harvest GDD
14A0001,C6A,10,392.35,392.35
14A0002,W6720-1,5,407.3,407.3
14A0003,C12-1,6,392.35,392.35
14A0004,We09413,5,400.75,400.75
14A0005,C22,5,388.05,388.05
14A0006,We05401,6,392.35,392.35
14A0007,F7,5,392.15,392.15
14A0008,W3647,6,407.3,407.3
14A0009,Me100,5,392,392
14A0010,C5-NT,5,392.35,392.35
14A0011,Check1,6,392,392
14A0012,IP39,5,428.45,428.45
14A0013,We01407,6,400.75,400.75
14A0014,W5579,5,418.3,418.3
14A0015,IL747b,8,428.45,428.45
14A0016,OLCOTT,5,400.75,400.75
14A0017,W64A,5,435.8,435.8
14A0018,VIA5492,5,392,392
14A0019,Check2,7,444,444
14A0020,We05411,6,392.15,392.15
14A0021,We08414a,4,400.75,400.75
14A0022,IL671a,0,No Pollination Recorded,No Pollination Recorded
14A0023,R853,6,404.8,404.8
14A0024,C13,8,425.25,443.25
14A0025,Me2rt,7,392.15,392.15
14A0026,We06410,5,392.15,392.15
14A0027,R839,7,404.8,404.8
14A0028,Wu04806,6,392,392
14A0029,We05408,5,392,392
14A0030,Check2,6,437.2,409.5
14A0031,W6728,5,418.3,418.3
14A0032,W5552,8,457.6,457.6
14A0033,W6366,5,407.3,407.3
14A0034,W85,7,392.35,392.35
14A0035,We08408,5,392.35,392.35
14A0036,ND1,0,No Pollination Recorded,No Pollination Recorded
14A0037,81-1,3,,
14A0038,C4,4,392.35,392.35
14A0039,We02412,2,407.3,407.3
14A0040,Vineland576,5,412.3,412.3
14A0041,Sweet Buns,5,400,400
14A0042,W6462,5,407.3,407.3
14A0043,Check1,6,392,392
14A0044,We05407,5,400,400
14A0045,Me2,5,392.15,392.15
14A0046,C18,5,400.75,400.75
14A0047,W6714,3,452.8,452.8
14A0048,W3742,6,465.8,465.8
14A0049,C2,5,404.25,404.25
14A0050,Check1,8,400,400
14A0051,We02404,5,418.3,418.3
14A0052,M23,6,179.45,179.45
14A0053,Check2,6,404.25,404.25
14A0054,Wu04401,7,388.05,388.05
14A0055,Me1,6,392.35,392.35
14A0056,Wisconsin_se_tester_sese,6,392,392
14A0057,We09402,8,400.75,400.75
14A0058,We09425,6,444.25,444.25
14A0059,C81,5,407.3,407.3
14A0060,We10401,7,421.8,421.8
14A0061,We02406,1,,
14A0062,IL689a,6,400.75,400.75
14A0063,P51B,5,418.3,418.3
14A0064,C30,6,388.05,388.05
14A0065,We03418a,2,428.45,428.45
14A0066,Me135,8,392.15,392.15
14A0067,Check2,5,No Harvest Date Recorded,No Harvest Date Recorded
14A0068,SD909,6,392.15,392.15
14A0069,LUTHER HILL,6,444.25,444.25
14A0070,G8,4,392.15,392.15
14A0071,W6786,5,418.3,418.3
14A0072,W7151,6,565.3,565.3
14A0073,We08417a,6,428.45,428.45
14A0074,Me121-wb,5,418.3,418.3
14A0075,34f,4,404.8,404.8
14A0076,C38,9,388.05,388.05
14A0077,R825,5,407.3,407.3
14A0078,Check1,6,392,392
14A0079,W5543,5,400.75,400.75
14A0080,We05410,5,400,400
14A0081,R851,5,407.3,407.3
14A0082,Ia2076,6,400.75,400.75
14A0083,Me244-wb,5,428.45,428.45
14A0084,V781,6,433.3,433.3
14A0085,C3,5,423.2,423.2
14A0086,W6757,7,407.3,407.3
14A0087,Wu04819,6,428.3,428.3
14A0088,Me123,6,392.15,392.15
14A0089,Wh96015,6,428.3,428.3
14A0107,IL788a,6,428.45,428.45
14A0145,IL772a,4,420.3,420.3
14A0181,Wuh09097i,6,400.75,400.75
14A0182,Sweet Buns,6,404.25,404.25
14A0183,IL779a,6,415.3,415.3
14A0184,Wh07166R,3,591.8,500.8
14A0185,B5870,6,418.3,418.3
14A0186,Check2,5,513.7,459.25
14A0187,IaCG4189,7,476.8,435.8
14A0188,IL47A,7,415.3,415.3
14A0189,Wu00802,6,420.3,420.3
14A0190,IL515a,4,420.3,420.3
14A0191,IL451b,6,418.3,418.3
14A0192,NJ618,6,400.75,400.75
14A0193,P39xRp1d,5,428.45,428.45
14A0194,Sweet Buns,6,400,400
14A0195,P39Le-253:60,6,400.75,400.75
14A0196,SD829,5,420.6,420.6
14A0197,IL323a,5,476.8,476.8
14A0198,Wh10035R,5,392.35,392.35
14A0199,P39LE-3502:61,4,,
14A0200,Wh09137R,5,388.05,388.05
14A0201,IL773a,7,465.8,465.8
14A0202,Sweet Buns,5,400,400
14A0203,CTS6-1,6,470.3,470.3
14A0204,IL279AxRp1d,4,421.8,421.8
14A0205,IaEV3004,6,420.3,420.3
14A0206,Wh00065,5,407.3,407.3
14A0207,P39,3,392.35,392.35
14A0208,MDM-1,6,418.3,418.3
14A0209,C7,6,441.6,441.6
14A0210,Wh10804R,6,404.8,404.8
14A0211,Ma83608,5,400.75,400.75
14A0212,IL104g,6,428.3,428.3
14A0213,Wh92054,5,428.3,428.3
14A0214,Check2,6,458.7,458.7
14A0215,Wuh07186i,0,,
14A0216,Check3,6,407.3,407.3
14A0217,IaEV3002,5,404.8,404.8
14A0218,C90,4,404.8,404.8
14A0219,SD592,5,400.75,400.75
14A0220,C27,7,457.6,457.6
14A0221,Wh00051,5,No Harvest Date Recorded,No Harvest Date Recorded
14A0222,Ia5125,5,428.3,428.3
14A0223,Il101t,5,404.8,404.8
14A0224,SC6069,5,412.3,412.3
14A0225,P39,6,428.45,428.45
14A0226,Wh07165R,4,407.3,407.3
14A0227,Ia2256,7,445.3,445.3
14A0228,Wuh09191i,3,400.75,400.75
14A0229,Check2,8,406.65,406.65
14A0230,A684,5,407.3,407.3
14A0231,P14,8,428.3,428.3
14A0232,Sweet Buns,6,404.25,404.25
14A0233,P39,8,428.3,428.3
14A0234,Check3,5,418.3,418.3
14A0235,Wh09009,6,400.75,400.75
14A0236,IL648,7,465.8,465.8
14A0237,IL18b,6,404.8,404.8
14A0238,IL713a,5,404.8,404.8
14A0239,Wh00033,5,400.75,400.75
14A0240,Sweet Buns,8,404.25,404.25
14A0241,IL800a,5,412.3,412.3
14A0242,Ia2132,11,407.3,407.3
14A0243,Wuh08127i,5,457.6,412.3
14A0244,Check3,6,428.3,428.3
14A0245,If825,5,412.3,412.3
14A0246,IL44b,6,407.3,407.3
14A0247,Wh96034,4,No Harvest Date Recorded,No Harvest Date Recorded
14A0248,Ma5125,10,No Harvest Date Recorded,No Harvest Date Recorded
14A0249,IL1171,8,445.3,445.3
14A0250,Wh03031,5,428.3,428.3
14A0251,P39Goodman-Buckler,9,428.3,428.3
14A0252,IL615a,5,407.3,407.3
14A0253,Check2,6,458.7,404.25
14A0254,P51xRp1d,5,407.3,407.3
14A0255,Wh10216V,5,420.6,420.6
14A0256,C8p,6,428.3,428.3
14A0257,M45,7,444.25,444.25
14A0258,IL803a,5,515.8,500.3
14A0259,IL437a,6,420.3,420.3
14A0260,83612b,5,404.8,404.8
14A0261,C42,5,400.75,400.75
14A0262,P39,6,407.3,407.3
14A0263,Wu99823,7,428.3,428.3
14A0264,IL31a,4,404.8,404.8
14A0265,Sweet Buns,6,459.25,459.25
14A0266,IL799b,8,404.8,404.8
14A0267,AS11,8,412.3,412.3
14A0268,,6,420.3,420.3
14A0269,Wh10049R,6,400.75,400.75
14A0270,IL744a,4,415.3,415.3
14A0271,Wh08022,9,392.35,392.35
14A0272,C40,7,418.3,418.3
14A0273,A10579,5,418.3,418.3
14A0274,P51,5,420.6,420.6
14A0275,MDM-9,6,418.3,418.3
14A0276,Sweet Buns,6,400,400
14A0277,Wh10140R,8,392.15,392.15
14A0278,Check2,13,406.65,406.65
14A0279,C1540,5,452.8,452.8
14A0280,Check3,6,407.3,407.3
14A0281,Ia59,11,400.75,400.75
14A0282,P39LE-261:61,1,429.3,
14A0283,Ma401,5,420.3,420.3
14A0284,Wh09068,5,418.3,418.3
14A0285,A15,6,388.05,388.05
14A0286,Sweet Buns,6,404.25,404.25
14A0287,C27red,5,420.6,420.6
14A0288,ILB5870,5,428.3,428.3
14A0289,F2,3,576.3,457.6
14A0290,Sweet Buns,6,404.25,404.25
14A0291,C31,1,498.25,No Pollination Recorded
14A0292,Wh05066a,3,457.6,444.45
14A0293,SD176,2,388.05,388.05
14A0294,Wh07013,6,428.3,428.3
14A0295,Wh10110R,5,420.6,420.6
14A0296,Wuh07182i,6,404.25,404.25
14A0297,Check3,6,412.3,412.3
14A0298,CI540,4,442.3,442.3
14A0299,MDM-19,6,412.3,412.3
14A0300,Wh96011,5,392,392
14A0301,Wh95016a,6,388.05,388.05
14A0302,SD908,4,400.75,400.75
14A0303,Check2,11,406.65,406.65
14A0304,Sweet Buns,5,404.25,404.25
14A0305,Sweet Buns,5,404.25,404.25
14A0306,C5,2,444,404.25
14A0307,471-U6,5,420.3,420.3
14A0308,Wh10113R,6,412.3,412.3
14A0309,Wuh07481i,6,388.05,388.05
14A0310,C23,7,429.3,429.3
14A0311,IL661a,6,429.3,429.3
14A0312,NJ159,5,420.6,420.6
14A0313,Wh08092,5,400.75,400.75
14A0314,Wuh07466i,6,388.05,388.05
14A0315,Check2,8,410.2,410.2
14A0316,Wu99811,6,418.3,418.3
14A0317,Check3,6,407.3,407.3
14A0318,Wh01001,4,No Harvest Date Recorded,No Harvest Date Recorded
14A0319,IL112t,6,418.3,418.3
14A0320,C5,2,No Harvest Date Recorded,No Harvest Date Recorded
14A0321,Wh09061,1,429.3,No Pollination Recorded
14A0322,Wuh09164i,4,400.75,400.75
14A0323,Wh98044,4,428.45,428.45
14A0324,C8w,5,407.3,407.3
14A0325,Wh10080,5,418.3,418.3
14A0326,Ind.5817,6,400.75,400.75
14A0327,IL543c,6,421.8,421.8
14A0328,Il677a,6,470.3,470.3
14A0329,Wh9261,6,392,392
14A0330,Wh08042,6,400.75,400.75
14A0331,SD226,5,392,392
14A0332,IL777a,5,404.8,404.8
14A0333,Check3,8,412.3,412.3
14A0334,B5765,6,489.3,489.3
14A0335,C65,6,418.3,418.3
14A0336,Wh10231V,2,487.8,418.3
14A0337,IL676a,5,404.8,404.8
14A0338,Wh05081a,8,418.3,418.3
14A0339,P39M94,10,412.3,412.3
14A0340,S43,6,388.05,388.05
14A0341,SC1441,10,412.3,412.3
14A0342,IL797a,6,470.3,470.3
14A0343,IL124a,5,425.3,425.3
14A0344,Wuh98032,9,412.3,412.3
14A0345,Wh94053,6,400.75,400.75
14A0346,Wh08091,2,539.3,452.8
14A0347,IL27a,5,418.3,418.3
14A0348,IL767b,6,421.8,421.8
14A0349,Wuh07422i,6,400.75,400.75
14A0350,IL751a,7,425.3,425.3
14A0351,Check2,6,458.7,458.7
14A0352,IL804a,3,470.3,470.3
14A0353,IL766a,7,418.3,418.3
14A0354,IL303b,6,425.3,425.3
14A0355,IL618b,2,No Harvest Date Recorded,No Harvest Date Recorded
14A0356,IL692c,9,412.3,412.3
14A0357,IL795a,0,No Pollination Recorded,No Pollination Recorded
