Year	Plot	Geno	Rep	Superblock	Block	Row	Col	Check	new	C	Anthesis	Silking	Planting	da	ds	a_s	GDD_a	GDD_s
2015	15A0001	Check1	1	1	1	66	16	1	0	Check	7/24/15	7/27/15	5/29/15	56	59	-3	1594	1661
2015	15A0002	LUTHER HILL	1	1	1	66	15	99	1	Panel	7/29/15	7/29/15	5/29/15	61	61	0	1711	1711
2015	15A0003	We08408	1	1	1	65	16	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0004	Ia5125	1	1	1	65	15	99	1	Panel	8/1/15	8/2/15	5/29/15	64	65	-1	1780	1801
2015	15A0005	V781	1	1	1	64	16	99	1	Panel	7/24/15	7/24/15	5/29/15	56	56	0	1594	1594
2015	15A0006	Ia2076	1	1	1	64	15	99	1	Panel	8/1/15	7/30/15	5/29/15	64	62	2	1780	1737
2015	15A0007	Check2	1	1	1	63	16	2	0	Check	8/8/15	8/8/15	5/29/15	71	71	0	1902	1902
2015	15A0008	Wuh07422i	1	1	1	63	15	99	1	Panel	7/31/15	8/4/15	5/29/15	63	67	-4	1760	1842
2015	15A0009	Wh04020a	1	1	1	62	16	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0010	SD909	1	1	1	62	15	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0011	Wuh09097i	1	1	1	61	16	99	1	Panel	7/31/15	7/31/15	5/29/15	63	63	0	1760	1760
2015	15A0012	Wuh09153i	1	1	1	61	15	99	1	Panel	8/8/15	8/10/15	5/29/15	71	73	-2	1902	1942
2015	15A0013	Fa32B	1	1	1	60	16	99	1	Panel	7/31/15	8/1/15	5/29/15	63	64	-1	1760	1780
2015	15A0014	Wu04806	1	1	1	60	15	99	1	Panel	7/29/15	7/29/15	5/29/15	61	61	0	1711	1711
2015	15A0015	W5543	1	1	1	59	16	99	1	Panel	7/28/15	7/28/15	5/29/15	60	60	0	1686	1686
2015	15A0016	Ia59	1	1	1	59	15	99	1	Panel	7/27/15	7/28/15	5/29/15	59	60	-1	1661	1686
2015	15A0017	C13	1	1	1	58	16	99	1	Panel	7/24/15	7/24/15	5/29/15	56	56	0	1594	1594
2015	15A0018	W6462	1	1	1	58	15	99	1	Panel	8/2/15	8/2/15	5/29/15	65	65	0	1801	1801
2015	15A0019	We06409b	1	1	1	57	16	99	1	Panel	7/30/15	7/30/15	5/29/15	62	62	0	1737	1737
2015	15A0020	FILL	1	1	1	57	15	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0021	WVG3	1	1	1	56	16	99	1	Panel	7/31/15	7/31/15	5/29/15	63	63	0	1760	1760
2015	15A0022	F7	1	1	1	56	15	99	1	Panel	7/27/15	7/27/15	5/29/15	59	59	0	1661	1661
