project_name,user_email,plate_name,well,ncbi_tax_id,sample_name,concentration_ng_ul,volume_ul,experimental_condition,tissue_type,accession_name,plot_number,block_number,is_a_control,rep_number,range_number,row_number,col_number,seedlot_name,num_seed_per_plot,weight_gram_seed_per_plot
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A01,4577,19A0205,203,20,Experimental,Kernel,P14,205,10,0,1,2,7,19,17A0342,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B01,4577,19A0303,214,20,Experimental,Kernel,fill_c2,303,14,1,1,2,6,28,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C01,4577,19A0202,226,20,Experimental,Kernel,P39M96,202,10,0,1,2,4,19,17A0248,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D01,4577,19A0240,214,20,Experimental,Kernel,Ma32,240,11,0,1,2,3,22,17A0219,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E01,4577,19A0366,209,20,Experimental,Kernel,CHECK4,366,17,1,1,3,9,34,17A0610,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F01,4577,19A0210,226,20,Experimental,Kernel,S43,210,10,0,1,2,11,20,17A0260,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G01,4577,19A0148,202,20,Experimental,Kernel,CHECK2,148,7,1,1,1,7,14,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H01,4577,19A0369,218,20,Experimental,Kernel,P35,369,17,0,1,3,6,34,17A0622,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A02,4577,19A0133,224,20,Experimental,Kernel,We09402,133,7,0,1,1,1,13,14:41210,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B02,4577,19A0410,257,20,Experimental,Kernel,AS11,410,19,0,1,3,9,38,17A0627,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C02,4577,19A0231,220,20,Experimental,Kernel,CHECK2,231,11,1,1,2,11,21,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D02,4577,19A0262,203,20,Experimental,Kernel,fill_c3,262,12,1,1,2,3,24,17A0632,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E02,4577,19A0192,220,20,Experimental,Kernel,IL125b,192,9,0,1,2,7,18,17A0191,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F02,4577,19A0024,210,20,Experimental,Kernel,P39LE-261,24,2,0,1,1,2,3,17A0135,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G02,4577,19A0382,219,20,Experimental,Kernel,IL395a,382,18,0,1,3,8,35,17A0511,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H02,4577,19A0359,245,20,Experimental,Kernel,304A,359,17,0,1,3,7,33,17A0626,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A03,4577,19A0301,204,20,Experimental,Kernel,IL793a,301,14,0,1,2,8,28,17A0241,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B03,4577,19A0355,239,20,Experimental,Kernel,ILB6011,355,17,0,1,3,3,33,17A0553,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C03,4577,19A0146,228,20,Experimental,Kernel,Wuh09150i,146,7,0,1,1,9,14,16A2251,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D03,4577,19A0078,216,20,Experimental,Kernel,W5579,78,4,0,1,1,11,8,17A0302,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E03,4577,19A0364,214,20,Experimental,Kernel,Il677a,364,17,0,1,3,11,34,17A0541,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F03,4577,19A0213,224,20,Experimental,Kernel,Ma2402,213,10,0,1,2,8,20,3.563888889,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G03,4577,19A0327,230,20,Experimental,Kernel,R839,327,15,0,1,2,4,30,17A0205,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H03,4577,19A0280,221,20,Experimental,Kernel,B5765,280,13,0,1,2,7,26,17A0361,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A04,4577,19A0039,209,20,Experimental,Kernel,Wh98063,39,2,0,1,1,6,4,17A0124,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B04,1,Neg_Control,0,20,Neg_Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C04,1,BLANK,0,0,Neg_Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D04,4577,19A0334,238,20,Experimental,Kernel,CHECK2,334,16,1,1,2,4,31,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E04,4577,19A0222,205,20,Experimental,Kernel,fill_c3,222,11,1,1,2,2,21,17A0632,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F04,4577,19A0122,215,20,Experimental,Kernel,Me2rt,122,6,0,1,1,11,12,17A0710,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G04,4577,19A0422,208,20,Experimental,Kernel,257A9,422,20,0,1,3,4,39,14:32375,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H04,4577,19A0331,262,20,Experimental,Kernel,IL761a,331,16,0,1,2,1,31,17A0291,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A05,4577,19A0265,215,20,Experimental,Kernel,CHECK3,265,13,1,1,2,1,25,17A0632,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B05,4577,19A0112,230,20,Experimental,Kernel,Wh9261,112,6,0,1,1,2,11,15A0042,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C05,4577,19A0224,221,20,Experimental,Kernel,W6728,224,11,0,1,2,4,21,17A0321,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D05,4577,Pos_Control,200,20,Pos_Control,Kernel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E05,4577,19A0110,218,20,Experimental,Kernel,Wh10216V,110,5,0,1,1,1,10,17A0780,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F05,4577,19A0207,226,20,Experimental,Kernel,We10401,207,10,0,1,2,9,19,17A0265,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G05,4577,19A0010,204,20,Experimental,Kernel,Wh10035R,10,1,0,1,1,10,1,16A1070,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H05,4577,19A0450,230,20,Experimental,Kernel,W6714,450,21,0,1,3,10,41,17A0507,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A06,4577,19A0008,229,20,Experimental,Kernel,VIA5492,8,1,0,1,1,8,1,17A0777,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B06,4577,19A0356,223,20,Experimental,Kernel,IL515a,356,17,0,1,3,4,33,17A0490,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C06,4577,19A0406,237,20,Experimental,Kernel,IL796a,406,19,0,1,3,10,37,17A0633,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D06,4577,19A0243,217,20,Experimental,Kernel,Wh09137R,243,12,0,1,2,1,23,17A0305,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E06,4577,19A0425,217,20,Experimental,Kernel,IL103a,425,20,0,1,3,7,39,17A0482,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F06,4577,19A0448,208,20,Experimental,Kernel,IL545,448,21,0,1,3,8,41,17A0496,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G06,4577,19A0289,212,20,Experimental,Kernel,IL713a,289,14,0,1,2,3,27,17A0293,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H06,4577,19A0236,230,20,Experimental,Kernel,Ia45-1,236,11,0,1,2,7,22,17A0328,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A07,4577,19A0050,215,20,Experimental,Kernel,Wh96011,50,3,0,1,1,6,5,17a1332,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B07,4577,19A0219,216,20,Experimental,Kernel,W6786,219,10,0,1,2,2,20,17A0212,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C07,4577,19A0115,262,20,Experimental,Kernel,ILB5870,115,6,0,1,1,5,11,17A0752,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D07,4577,19A0343,215,20,Experimental,Kernel,We05410,343,16,0,1,2,10,32,16A2189,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E07,4577,19A0384,217,20,Experimental,Kernel,IL11D,384,18,0,1,3,10,35,17A0609,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F07,4577,Pos_Control,200,20,Pos_Control,Kernel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G07,4577,19A0171,255,20,Experimental,Kernel,Ia2132,171,8,0,1,2,6,16,17A0403,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H07,4577,19A0259,202,20,Experimental,Kernel,CHECK2,259,12,1,1,2,6,24,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A08,4577,19A0261,210,20,Experimental,Kernel,Wuh09191i,261,12,0,1,2,4,24,6.405555556,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B08,4577,19A0032,209,20,Experimental,Kernel,We09413,32,2,0,1,1,10,3,17A0153,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C08,4577,19A0232,204,20,Experimental,Kernel,IL673a,232,11,0,1,2,11,22,17A0228,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D08,4577,19A0246,220,20,Experimental,Kernel,Il14H,246,12,0,1,2,4,23,17A0313,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E08,4577,19A0458,231,20,Experimental,Kernel,Wh92047,458,21,0,1,3,5,42,2.245833333,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F08,4577,19A0294,207,20,Experimental,Kernel,MDM-15,294,14,0,1,2,8,27,17A0329,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G08,4577,19A0462,255,20,Experimental,Kernel,IL765a,462,21,0,1,3,1,42,17A0526,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H08,4577,19A0337,231,20,Experimental,Kernel,fill_c2,337,16,1,1,2,7,31,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A09,4577,19A0194,215,20,Experimental,Kernel,IL661a,194,9,0,1,2,5,18,17A0451,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B09,4577,19A0220,207,20,Experimental,Kernel,Wh10110R,220,10,0,1,2,1,20,17A0438,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C09,4577,19A0449,219,20,Experimental,Kernel,IL14b,449,21,0,1,3,9,41,17A0582,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D09,4577,19A0318,218,20,Experimental,Kernel,Wh00050,318,15,0,1,2,10,29,17A0311,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E09,4577,19A0440,212,20,Experimental,Kernel,MDM-16,440,20,0,1,3,1,40,17A0492,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F09,4577,19A0305,242,20,Experimental,Kernel,IL773a,305,14,0,1,2,4,28,17A0356,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G09,4577,19A0035,212,20,Experimental,Kernel,Wu04401,35,2,0,1,1,10,4,17A0136,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H09,4577,19A0203,213,20,Experimental,Kernel,V775,203,10,0,1,2,5,19,17A0431,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A10,4577,19A0400,240,20,Experimental,Kernel,IL86e,400,19,0,1,3,4,37,17A0630,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B10,4577,19A0179,203,20,Experimental,Kernel,IL451b,179,9,0,1,2,3,17,17A0423,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C10,4577,19A0099,210,20,Experimental,Kernel,We02406,99,5,0,1,1,11,9,16A2347,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D10,4577,19A0457,227,20,Experimental,Kernel,IL775a,457,21,0,1,3,6,42,17A0629,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E10,4577,19A0398,217,20,Experimental,Kernel,IL465a,398,19,0,1,3,2,37,3.425694444,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F10,4577,19A0353,216,20,Experimental,Kernel,IaEV3002,353,17,0,1,3,1,33,17A0560,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,G10,4577,19A0042,210,20,Experimental,Kernel,C6A,42,2,0,1,1,3,4,15A0126,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,H10,4577,19A0134,260,20,Experimental,Kernel,C8p,134,7,0,1,1,2,13,17A2056,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,A11,4577,19A0041,228,20,Experimental,Kernel,LUTHER HILL,41,2,0,1,1,4,4,17A0079,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,B11,4577,19A0326,206,20,Experimental,Kernel,C7e,326,15,0,1,2,5,30,17A2063,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,C11,4577,19A0193,223,20,Experimental,Kernel,IL678a,193,9,0,1,2,6,18,17A0390,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,D11,4577,19A0309,246,20,Experimental,Kernel,fill_c2,309,15,1,1,2,1,29,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,E11,4577,19A0271,236,20,Experimental,Kernel,fill_c2,271,13,1,1,2,7,25,17A0140,12,10
SweetCornRNAseqExp,jmh579@cornell.edu,SC_RNA_01,F11,4577,19A0172,211,20,Experimental,Kernel,P51B,172,8,0,1,2,5,16,17A0333,12,10
