sample_name,sample_title_DO_NOT_EDIT,library_name,organism,ncbi_taxon_id,cultivar_or_isolate_or_ecotype,tissue,tissue_developmental_stage,plant_age,treatment,specimen_source,growing_location,growing_conditions,geographic_location,biological_replicate,tissue_harvested_by,tissue_harvest_date,sample_tissue_comments,nucleic_acid_extraction_method,dnase_rnase_treatment,nucleic_acid_clean_method,nucleic_acid_concentration_via_qubit_ng/ul,nanodrop_260/280,nanodrop_260/230,nucleic_acid_volume_ul,nucleic_acid_buffer,nucleic_acid_extracted_by,nucleic_acid_extraction_date,nucleic_acid_image,Plate,Well,nucleic_acid_comments
19A0205,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,815.697,2.058,1.437,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_01,A01,
19A0133,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,811.043,1.783,1.355,20,Water,Jenna Hershberger,3/12/20,TRUE,SC_RNA_01,A02,
19A0301,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,89,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/10/19,,Hot Borate,yes,,453.371,2.043,1.412,20,Water,Jenna Hershberger,6/29/20,FALSE,SC_RNA_01,A03,
19A0039,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,72,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/24/19,,Hot Borate,yes,,838.386,2.061,2.181,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,A04,
19A0265,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,82,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/3/19,,Hot Borate,yes,,539.291,2.022,1.105,20,Water,Jenna Hershberger,6/24/20,FALSE,SC_RNA_01,A05,
19A0008,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,70,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/22/19,,Hot Borate,yes,,919.919,1.985,1.163,20,Water,Jenna Hershberger,6/18/20,FALSE,SC_RNA_01,A06,
19A0050,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,81,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/2/19,,Hot Borate,yes,,862.415,2.024,2.072,20,Water,Jenna Hershberger,6/21/20,FALSE,SC_RNA_01,A07,
19A0261,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,88,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/9/19,,Hot Borate,yes,,703.267,2.091,1.922,20,Water,Jenna Hershberger,6/30/20,FALSE,SC_RNA_01,A08,
19A0194,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,85,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/6/19,,Hot Borate,yes,,348.339,1.952,0.921,20,Water,Jenna Hershberger,6/24/20,FALSE,SC_RNA_01,A09,
19A0400,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,101,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,9/22/19,,Hot Borate,yes,,1203.077,2.087,1.498,20,Water,Jenna Hershberger,6/28/20,FALSE,SC_RNA_01,A10,
19A0041,,,Zea mays,4577,Cultivar,seed,400 GDD after pollination,71,None,Gore lab,"Musgrave Farm, Aurora, NY",Non-irrigated,"Musgrave Farm, Aurora, NY",1,Jenna Hershberger,8/23/19,,Hot Borate,yes,,2283.192,1.976,1.595,20,Water,Jenna Hershberger,3/15/20,TRUE,SC_RNA_01,A11,
