"Sample.Name","done_box_number","Tube_number","Plate.Name","Well","dilution.H2O","dilution.sample"
"19A0205",2,20,"SC_RNA_01","A01",15,5
"19A0133",6,16,"SC_RNA_01","A02",13,7
"19A0301",3,19,"SC_RNA_01","A03",11,9
"19A0039",3,15,"SC_RNA_01","A04",15,5
"19A0265",3,12,"SC_RNA_01","A05",12,8
"19A0008",2,21,"SC_RNA_01","A06",15,5
"19A0050",2,23,"SC_RNA_01","A07",15,5
"19A0261",4,20,"SC_RNA_01","A08",14,6
"19A0194",7,22,"SC_RNA_01","A09",11,9
"19A0400",3,21,"SC_RNA_01","A10",16,4
"19A0041",1,16,"SC_RNA_01","A11",18,2
"19A0225",2,15,"SC_RNA_01","A12",17,3
"19A0303",2,18,"SC_RNA_01","B01",17,3
"19A0410",1,19,"SC_RNA_01","B02",18,2
"19A0355",2,11,"SC_RNA_01","B03",15,5
"Neg_Control",NA,NA,"SC_RNA_01","B04",NA,NA
"19A0112",4,19,"SC_RNA_01","B05",14,6
"19A0356",2,1,"SC_RNA_01","B06",15,5
"19A0219",3,3,"SC_RNA_01","B07",12,8
"19A0032",2,24,"SC_RNA_01","B08",8,12
"19A0220",6,15,"SC_RNA_01","B09",6,14
"19A0179",6,4,"SC_RNA_01","B10",11,9
"19A0326",6,17,"SC_RNA_01","B11",15,5
"19A0195",3,22,"SC_RNA_01","B12",12,8
"19A0202",5,12,"SC_RNA_01","C01",14,6
"19A0231",2,11,"SC_RNA_01","C02",16,4
"19A0146",4,3,"SC_RNA_01","C03",16,4
"BLANK",NA,NA,"SC_RNA_01","C04",NA,NA
"19A0224",4,10,"SC_RNA_01","C05",15,5
"19A0406",2,10,"SC_RNA_01","C06",17,3
"19A0115",2,3,"SC_RNA_01","C07",16,4
"19A0232",6,18,"SC_RNA_01","C08",15,5
"19A0449",6,8,"SC_RNA_01","C09",13,7
"19A0099",2,24,"SC_RNA_01","C10",17,3
"19A0193",2,10,"SC_RNA_01","C11",16,4
"19A0223",5,18,"SC_RNA_01","C12",14,6
"19A0240",6,24,"SC_RNA_01","D01",15,5
"19A0262",2,9,"SC_RNA_01","D02",12,8
"19A0078",3,11,"SC_RNA_01","D03",10,10
"19A0334",2,21,"SC_RNA_01","D04",16,4
"Pos_Control",NA,NA,"SC_RNA_01","D05",NA,NA
"19A0243",4,21,"SC_RNA_01","D06",11,9
"19A0343",2,5,"SC_RNA_01","D07",7,13
"19A0246",7,8,"SC_RNA_01","D08",10,10
"19A0318",3,24,"SC_RNA_01","D09",14,6
"19A0457",7,24,"SC_RNA_01","D10",14,6
"19A0309",1,6,"SC_RNA_01","D11",18,2
"19A0379",4,23,"SC_RNA_01","D12",15,5
"19A0366",6,11,"SC_RNA_01","E01",15,5
"19A0192",3,2,"SC_RNA_01","E02",11,9
"19A0364",3,2,"SC_RNA_01","E03",7,13
"19A0222",2,8,"SC_RNA_01","E04",14,6
"19A0110",6,18,"SC_RNA_01","E05",13,7
"19A0425",6,17,"SC_RNA_01","E06",11,9
"19A0384",4,6,"SC_RNA_01","E07",14,6
"19A0458",4,6,"SC_RNA_01","E08",13,7
"19A0440",5,17,"SC_RNA_01","E09",12,8
"19A0398",5,14,"SC_RNA_01","E10",15,5
"19A0271",7,13,"SC_RNA_01","E11",14,6
"19A0198",6,6,"SC_RNA_01","E12",14,6
"19A0210",3,16,"SC_RNA_01","F01",15,5
"19A0024",2,8,"SC_RNA_01","F02",13,7
"19A0213",5,11,"SC_RNA_01","F03",15,5
"19A0122",2,10,"SC_RNA_01","F04",17,3
"19A0207",4,12,"SC_RNA_01","F05",12,8
"19A0448",3,13,"SC_RNA_01","F06",15,5
"Pos_Control",NA,NA,"SC_RNA_01","F07",NA,NA
"19A0294",4,22,"SC_RNA_01","F08",16,4
"19A0305",6,3,"SC_RNA_01","F09",15,5
"19A0353",1,5,"SC_RNA_01","F10",16,4
"19A0172",5,19,"SC_RNA_01","F11",16,4
"19A0185",5,16,"SC_RNA_01","F12",14,6
"19A0148",4,22,"SC_RNA_01","G01",15,5
"19A0382",6,13,"SC_RNA_01","G02",15,5
"19A0327",3,3,"SC_RNA_01","G03",13,7
"19A0422",6,10,"SC_RNA_01","G04",13,7
"19A0010",6,22,"SC_RNA_01","G05",12,8
"19A0289",4,24,"SC_RNA_01","G06",14,6
"19A0171",5,4,"SC_RNA_01","G07",16,4
"19A0462",2,22,"SC_RNA_01","G08",16,4
"19A0035",7,7,"SC_RNA_01","G09",8,12
"19A0042",6,7,"SC_RNA_01","G10",4,16
"19A0419",5,11,"SC_RNA_01","G11",14,6
"19A0325",5,6,"SC_RNA_01","G12",13,7
"19A0369",7,21,"SC_RNA_01","H01",15,5
"19A0359",6,14,"SC_RNA_01","H02",15,5
"19A0280",5,2,"SC_RNA_01","H03",14,6
"19A0331",3,19,"SC_RNA_01","H04",16,4
"19A0450",5,16,"SC_RNA_01","H05",15,5
"19A0236",4,17,"SC_RNA_01","H06",15,5
"19A0259",2,6,"SC_RNA_01","H07",11,9
"19A0337",5,14,"SC_RNA_01","H08",13,7
"19A0203",3,14,"SC_RNA_01","H09",14,6
"19A0134",1,6,"SC_RNA_01","H10",18,2
"19A0037",6,5,"SC_RNA_01","H11",17,3
"19A0306",5,23,"SC_RNA_01","H12",14,6
"19A0086",4,13,"SC_RNA_02","A01",11,9
"19A0370",6,11,"SC_RNA_02","A02",15,5
"19A0423",1,24,"SC_RNA_02","A03",18,2
"19A0447",5,9,"SC_RNA_02","A04",6,14
"19A0247",3,1,"SC_RNA_02","A05",13,7
"19A0162",4,10,"SC_RNA_02","A06",11,9
"19A0069",2,21,"SC_RNA_02","A07",15,5
"19A0080",3,13,"SC_RNA_02","A08",16,4
"19A0173",5,13,"SC_RNA_02","A09",16,4
