"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","plate.order"
"19A0132","1",1,2020-03-11,1,TRUE,284
"19A0353","1",1,2020-03-11,5,TRUE,74
"19A0309","1",1,2020-03-11,6,TRUE,80
"19A0397","1",1,2020-03-11,7,TRUE,209
"19A0003","1",1,2020-03-11,8,TRUE,376
"19A0062","1",1,2020-03-11,15,TRUE,219
"19A0266","1",1,2020-03-11,16,TRUE,301
"19A0180","1",1,2020-03-11,17,TRUE,318
"19A0258","1",1,2020-03-11,19,TRUE,207
"19A0073","1",1,2020-03-11,20,TRUE,409
"19A0164","1",1,2020-03-11,21,TRUE,338
"19A0328","1",1,2020-03-11,23,TRUE,292
"19A0098","1",1,2020-03-12,2,TRUE,354
"19A0168","1",1,2020-03-12,3,TRUE,365
"19A0439","1",1,2020-03-12,7,TRUE,107
"19A0399","1",1,2020-03-12,8,TRUE,320
"19A0031","1",1,2020-03-12,9,TRUE,204
"19A0022","1",1,2020-03-12,10,TRUE,223
"19A0082","1",1,2020-03-12,11,TRUE,323
"19A0385","1",1,2020-03-12,12,TRUE,434
"19A0054","1",1,2020-03-12,14,TRUE,299
"19A0430","1",1,2020-03-12,16,TRUE,179
"19A0381","1",1,2020-03-12,17,TRUE,254
"19A0209","1",1,2020-03-12,18,TRUE,334
"19A0351","1",1,2020-03-12,19,TRUE,392
"19A0215","1",1,2020-03-12,23,TRUE,306
"19A0075","1",1,2020-03-15,1,TRUE,346
"19A0346","1",1,2020-03-15,2,TRUE,133
"19A0308","1",1,2020-03-15,3,TRUE,418
"19A0218","1",1,2020-03-15,4,TRUE,261
"19A0134","1",1,2020-03-15,6,TRUE,76
"19A0113","1",1,2020-03-15,7,TRUE,121
"19A0411","1",1,2020-03-15,8,TRUE,293
"19A0167","1",1,2020-03-15,9,TRUE,372
"19A0001","1",1,2020-03-15,10,TRUE,419
"19A0131","1",1,2020-03-15,11,TRUE,123
"19A0117","1",1,2020-03-15,13,TRUE,289
"19A0405","1",1,2020-03-15,14,TRUE,394
"19A0045","1",1,2020-03-15,15,TRUE,382
"19A0041","1",1,2020-03-15,16,TRUE,77
"19A0438","1",1,2020-03-15,17,TRUE,100
"19A0404","1",1,2020-03-15,18,TRUE,217
"19A0410","1",1,2020-03-15,19,TRUE,10
"19A0111","1",1,2020-03-15,20,TRUE,270
"19A0178","1",1,2020-03-15,22,TRUE,143
"19A0423","1",1,2020-03-15,24,TRUE,109
"19A0420","1",1,2020-06-18,3,TRUE,336
"19A0081","1",1,2020-06-18,5,TRUE,150
"19A0345","1",1,2020-06-18,6,TRUE,199
"19A0320","1",1,2020-06-18,7,TRUE,243
"19A0052","1",1,2020-06-18,9,TRUE,400
"19A0406","1",2,2020-06-18,10,TRUE,40
"19A0355","1",2,2020-06-18,11,TRUE,18
"19A0153","1",2,2020-06-18,12,TRUE,130
"19A0151","1",2,2020-06-18,13,TRUE,305
"19A0456","1",2,2020-06-18,14,TRUE,168
"19A0212","1",2,2020-06-18,15,TRUE,350
"19A0349","1",2,2020-06-18,16,TRUE,135
"19A0251","1",2,2020-06-18,17,TRUE,298
"19A0460","1",2,2020-06-18,18,TRUE,412
"19A0006","1",2,2020-06-18,19,TRUE,196
"19A0205","1",2,2020-06-18,20,TRUE,1
"19A0008","1",2,2020-06-18,21,TRUE,38
"19A0462","1",2,2020-06-18,22,TRUE,59
"19A0190","1",2,2020-06-18,23,TRUE,296
"19A0032","1",2,2020-06-18,24,TRUE,54
"19A0356","1",2,2020-06-21,1,TRUE,39
"19A0030","1",2,2020-06-21,2,TRUE,401
"19A0115","1",2,2020-06-21,3,TRUE,48
"19A0296","1",2,2020-06-21,4,TRUE,113
"19A0343","1",2,2020-06-21,5,TRUE,49
"19A0259","1",2,2020-06-21,6,TRUE,52
"19A0166","1",2,2020-06-21,7,TRUE,428
"19A0222","1",2,2020-06-21,8,TRUE,27
"19A0262","1",2,2020-06-21,9,TRUE,12
"19A0122","1",2,2020-06-21,10,TRUE,28
"19A0374","1",2,2020-06-21,12,TRUE,235
"19A0455","1",2,2020-06-21,13,TRUE,395
"19A0394","1",2,2020-06-21,14,TRUE,178
"19A0225","1",2,2020-06-21,15,TRUE,85
"19A0435","1",2,2020-06-21,16,TRUE,190
