"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","initial.conc","dilution.H2O","dilution.sample","final.conc","plate.order"
"19A0132","1",1,2020-03-11,1,TRUE,2046.196,18,2,204.6196,284
"19A0353","1",1,2020-03-11,5,TRUE,1083.911,16,4,216.7822,74
"19A0309","1",1,2020-03-11,6,TRUE,2464.273,18,2,246.4273,80
"19A0397","1",1,2020-03-11,7,TRUE,881.332,15,5,220.333,209
"19A0003","1",1,2020-03-11,8,TRUE,997.746,15,5,249.4365,376
"19A0062","1",1,2020-03-11,15,TRUE,1735.018,17,3,260.2527,219
"19A0266","1",1,2020-03-11,16,TRUE,2404.05,18,2,240.405,301
"19A0180","1",1,2020-03-11,17,TRUE,1338.809,17,3,200.82135,318
"19A0258","1",1,2020-03-11,19,TRUE,2705.106,18,2,270.5106,207
"19A0073","1",1,2020-03-11,20,TRUE,2083.92,18,2,208.392,409
"19A0164","1",1,2020-03-11,21,TRUE,1923.603,17,3,288.54045,338
"19A0328","1",1,2020-03-11,23,TRUE,965.904,15,5,241.476,292
"19A0098","1",1,2020-03-12,2,TRUE,1500.563,17,3,225.08445,354
"19A0168","1",1,2020-03-12,3,TRUE,1784.058,17,3,267.6087,365
"19A0439","1",1,2020-03-12,7,TRUE,1915.716,17,3,287.3574,107
"19A0399","1",1,2020-03-12,8,TRUE,1865.285,17,3,279.79275,320
"19A0031","1",1,2020-03-12,9,TRUE,1781.498,17,3,267.2247,204
"19A0022","1",1,2020-03-12,10,TRUE,1848.526,17,3,277.2789,223
"19A0082","1",1,2020-03-12,11,TRUE,2209.8,18,2,220.98,323
"19A0385","1",1,2020-03-12,12,TRUE,2199.672,18,2,219.9672,434
"19A0054","1",1,2020-03-12,14,TRUE,832.524,15,5,208.131,299
"19A0430","1",1,2020-03-12,16,TRUE,918.852,15,5,229.713,179
"19A0381","1",1,2020-03-12,17,TRUE,708.134,14,6,212.4402,254
"19A0209","1",1,2020-03-12,18,TRUE,993.218,15,5,248.3045,334
"19A0351","1",1,2020-03-12,19,TRUE,990.227,15,5,247.55675,392
"19A0215","1",1,2020-03-12,23,TRUE,2217.25,18,2,221.725,306
"19A0075","1",1,2020-03-15,1,TRUE,1283.988,16,4,256.7976,346
"19A0346","1",1,2020-03-15,2,TRUE,1721.352,17,3,258.2028,133
"19A0308","1",1,2020-03-15,3,TRUE,2274.226,18,2,227.4226,418
"19A0218","1",1,2020-03-15,4,TRUE,1437.901,17,3,215.68515,261
"19A0134","1",1,2020-03-15,6,TRUE,2605.585,18,2,260.5585,76
"19A0113","1",1,2020-03-15,7,TRUE,2227.084,18,2,222.7084,121
"19A0411","1",1,2020-03-15,8,TRUE,2177.058,18,2,217.7058,293
"19A0167","1",1,2020-03-15,9,TRUE,2078.826,18,2,207.8826,372
"19A0001","1",1,2020-03-15,10,TRUE,2637.961,18,2,263.7961,419
"19A0131","1",1,2020-03-15,11,TRUE,2256.449,18,2,225.6449,123
"19A0117","1",1,2020-03-15,13,TRUE,1283.059,16,4,256.6118,289
"19A0405","1",1,2020-03-15,14,TRUE,2263.416,18,2,226.3416,394
"19A0045","1",1,2020-03-15,15,TRUE,2290.756,18,2,229.0756,382
"19A0041","1",1,2020-03-15,16,TRUE,2283.192,18,2,228.3192,77
"19A0438","1",1,2020-03-15,17,TRUE,1981.516,17,3,297.2274,100
"19A0404","1",1,2020-03-15,18,TRUE,1350.289,17,3,202.54335,217
"19A0410","1",1,2020-03-15,19,TRUE,2577.144,18,2,257.7144,10
"19A0111","1",1,2020-03-15,20,TRUE,2341.678,18,2,234.1678,270
"19A0178","1",1,2020-03-15,22,TRUE,1553.686,17,3,233.0529,143
"19A0423","1",1,2020-03-15,24,TRUE,2217.791,18,2,221.7791,109
"19A0420","1",1,2020-06-18,3,TRUE,1347.983,17,3,202.19745,336
